"Data Source","Country/Region Name","Product Name","Element Name","Units","Year","Value"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2018/19","29.847"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2017/18","28.733"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2016/17","25.981412"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2015/16","22.059707"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2014/15","22.6753"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2013/14","15.9442"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2012/13","28.808"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2011/12","21.599"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2010/11","19.112"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2009/10","14.888"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2008/09","13.878"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2007/08","16.746"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2006/07","14.429"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2005/06","11.927"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2004/05","12.852"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2003/04","10.34"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2002/03","12.347"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2001/02","9.584"
"CBS","Argentina","COARSE GRAINS","Exports","Million tonnes","2000/01","12.803"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2018/19","28.977"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2017/18","29.27651"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2016/17","24.399095"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2015/16","23.00103"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2014/15","19.69782"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2013/14","23.38977"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2012/13","23.8475"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2011/12","21.713"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2010/11","19.899"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2009/10","11.6"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2008/09","20.381"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2007/08","16.769"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2006/07","10.336"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2005/06","14.896"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2004/05","11.028"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2003/04","11.668"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2002/03","11.098"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2001/02","10.196"
"CBS","Argentina","COARSE GRAINS","Exports (NMY)","Million tonnes","2000/01","12.791"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2018/19","18.837"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2017/18","17.78319"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2016/17","17.776185"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2015/16","15.05943"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2014/15","13.87225"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2013/14","11.31155"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2012/13","6.69175"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2011/12","6.53851"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2010/11","6.46252"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2009/10","4.13422"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2008/09","5.12022"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2007/08","6.04799"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2006/07","6.45"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2005/06","6.674"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2004/05","6.539"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2003/04","5.7205"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2002/03","6.5165"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2001/02","7.621"
"CBS","Argentina","COARSE GRAINS","Feed Use","Million tonnes","2000/01","6.896"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2018/19","0.324"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2017/18","0.321"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2016/17","0.318"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2015/16","0.315"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2014/15","0.313"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2013/14","0.308"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2012/13","0.303"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2011/12","0.303"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2010/11","0.303"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2009/10","0.303"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2008/09","0.298"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2007/08","0.298"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2006/07","0.288"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2005/06","0.288"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2004/05","0.283"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2003/04","0.278"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2002/03","0.273"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2001/02","0.268"
"CBS","Argentina","COARSE GRAINS","Food Use","Million tonnes","2000/01","0.268"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2018/19","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2017/18","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2016/17","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2015/16","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2014/15","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2013/14","0.055"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2012/13","0.021"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2011/12","0.021"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2010/11","0.022"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2009/10","0.024"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2008/09","0.024"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2007/08","0.025"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2006/07","0.024"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2005/06","0.025"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2004/05","0.024"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2003/04","0.026"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2002/03","0.022"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2001/02","0.0020"
"CBS","Argentina","COARSE GRAINS","Imports","Million tonnes","2000/01","0.02"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2018/19","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2017/18","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2016/17","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2015/16","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2014/15","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2013/14","0.055"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2012/13","0.021"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2011/12","0.021"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2010/11","0.022"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2009/10","0.024"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2008/09","0.024"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2007/08","0.025"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2006/07","0.024"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2005/06","0.027"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2004/05","0.022"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2003/04","0.027"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2002/03","0.02"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2001/02","0.0020"
"CBS","Argentina","COARSE GRAINS","Imports (NMY)","Million tonnes","2000/01","0.02"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2018/19","10.649"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2017/18","5.937"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2016/17","5.189"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2015/16","5.619"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2014/15","3.861"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2013/14","1.812"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2012/13","4.008"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2011/12","2.162"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2010/11","0.911"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2009/10","2.111"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2008/09","3.01"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2007/08","1.51"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2006/07","1.81"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2005/06","0.858"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2004/05","1.126"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2003/04","1.0725"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2002/03","1.231"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2001/02","1.235"
"CBS","Argentina","COARSE GRAINS","Opening Stocks","Million tonnes","2000/01","1.171"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2018/19","5.109"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2017/18","4.359"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2016/17","3.858"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2015/16","4.558"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2014/15","4.458"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2013/14","3.958"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2012/13","2.558"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2011/12","2.458"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2010/11","2.108"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2009/10","1.358"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2008/09","2.108"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2007/08","2.008"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2006/07","1.599"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2005/06","1.699"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2004/05","1.129"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2003/04","1.457"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2002/03","1.019"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2001/02","1.509"
"CBS","Argentina","COARSE GRAINS","Other Uses","Million tonnes","2000/01","1.688"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2018/19","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2017/18","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2016/17","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2015/16","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2014/15","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2013/14","7.2"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2012/13","7.2"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2011/12","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2010/11","7.4"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2009/10","7.4"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2008/09","7.4"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2007/08","7.5"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2006/07","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2005/06","7.4"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2004/05","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2003/04","7.3"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2002/03","7.2"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2001/02","7.2"
"CBS","Argentina","COARSE GRAINS","Per Capita Food Use","Kg/Yr","2000/01","7.2"
"CBS","Argentina","COARSE GRAINS","Production","Million tonnes","2018/19","49.692"
