country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,3700000,3700000,3380000,3730000,3790000,3490000,3830000,3920000,4040000,3510000,3320000,3950000,4270000,4350000,4480000,4620000,4150000,4380000,4210000,4070000,3890000,3720000,3590000,3420000,3240000,3080000,3390000,3000000,2830000,2710000,2720000,2470000,2980000,3140000,3240000,3240000,3680000,3880000,3260000,1940000,2110000,3740000,4380000,3560000,5430000,4640000,5790000,3950000,6510000,5960000,4680000,6380000,6520000,6750000,5810000,5540000
Albania,294000,314000,293000,350000,335000,433000,487000,502000,529000,539000,547000,586000,625000,646000,667000,857000,910000,933000,964000,881000,904000,970000,1070000,1040000,995000,1050000,1030000,998000,1030000,897000,446000,429000,666000,646000,645000,504000,602000,606000,498000,566000,503000,519000,489000,499000,511000,508000,494000,609000,631000,694000,701000,697000,703000,700000,695000,698000
Algeria,938000,2370000,2320000,1490000,1740000,776000,1640000,2130000,1850000,2060000,1740000,2360000,1600000,1480000,2680000,2310000,1140000,1540000,1620000,2420000,1830000,1520000,1290000,1460000,2920000,2400000,2070000,1040000,2010000,1630000,3810000,3330000,1450000,965000,2140000,4900000,870000,3030000,2020000,935000,2660000,1950000,4270000,4030000,3530000,4020000,3600000,1540000,5250000,4210000,4250000,5140000,4910000,3440000,3760000,3450000
Angola,544000,543000,515000,564000,562000,502000,515000,526000,648000,576000,523000,513000,549000,514000,558000,563000,430000,475000,361000,435000,316000,315000,337000,321000,308000,341000,364000,334000,272000,249000,372000,402000,322000,285000,296000,519000,448000,610000,541000,520000,601000,734000,737000,742000,915000,723000,781000,755000,1060000,1180000,1410000,510000,1670000,1820000,2020000,1640000
Antigua and Barbuda,,,,,,30,18,30,45,60,80,92,28,37,60,51,30,35,96,29,45,59,68,29,38,40,48,57,60,50,55,51,50,49,45,48,49,49,49,48,50,50,55,60,61,65,65,68,66,64,72,70,72,74,75,76
Argentina,14500000,14000000,17300000,20800000,13800000,17300000,19600000,16300000,18500000,19900000,22000000,18800000,23900000,23600000,23000000,24900000,22500000,27700000,25100000,18700000,30000000,34300000,31700000,31800000,28100000,26100000,22900000,22300000,18100000,19100000,22700000,25600000,25400000,23700000,26200000,24100000,36900000,40300000,32200000,38100000,36600000,34900000,32300000,34500000,41600000,32300000,42400000,44700000,26000000,40300000,50700000,47400000,50700000,55900000,55700000,67000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,306000,228000,248000,313000,254000,323000,292000,217000,360000,408000,305000,452000,392000,209000,448000,409000,369000,322000,435000,451000,544000,575000,596000,599000
Australia,9150000,11100000,11800000,13000000,9680000,16600000,9870000,18900000,14300000,12900000,14800000,10800000,17000000,16400000,17800000,17400000,14400000,25300000,23300000,16400000,23700000,14200000,31100000,28600000,24900000,24000000,19900000,21900000,22400000,23000000,18700000,25300000,26800000,15400000,27400000,35600000,31200000,33300000,35400000,34400000,34700000,38600000,17600000,42400000,34400000,40500000,17800000,26900000,34100000,33500000,40000000,43400000,35600000,38400000,37200000,35200000
Austria,2270000,2310000,2230000,2350000,2020000,2650000,2930000,3050000,3410000,3070000,3550000,3320000,3790000,4010000,3700000,4280000,4200000,4630000,3980000,4830000,4360000,5030000,5080000,5350000,5550000,5110000,4960000,5360000,5010000,5290000,5040000,4320000,4210000,4440000,4450000,4490000,5010000,4770000,4810000,4490000,4840000,4760000,4270000,5320000,4910000,4470000,4770000,5760000,5160000,4870000,5710000,4880000,4600000,5720000,4850000,5700000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330000,1140000,1020000,910000,999000,1070000,916000,1070000,1500000,1960000,2130000,1990000,2090000,2060000,2010000,1940000,2420000,2900000,1930000,2370000,2710000,2860000,2300000,2900000,2970000
